ID,symmetry,seq_length
1dth_A,C2,406
1dto_A,C2,442
1du5_A,C2,412
1dvk_A,C2,346
1dvp_A,C2,440
1dvr_A,C2,440
1dys_A,C2,696
1dz3_A,C2,260
1e0b_A,C2,136
1e19_A,C2,628
1e2s_P,C2,978
1e4m_M,C2,1002
1e58_A,C2,498
1e5d_A,C2,804
1e5m_A,C2,832
1e5r_A,C2,580
1e6b_A,C2,442
1e6u_A,C2,642
1e7l_A,C2,314
1e7n_A,C2,212
1eag_A,C2,684
1eaj_A,C2,252
1ear_A,C2,294
1ecs_A,C2,252
1edn_A,C2,42
1edt_A,C2,542
1edz_A,C2,640
1ee8_A,C2,532
1eej_A,C2,432
1dcf_A,C2,272
1djt_A,C2,128
1dzr_A,C2,366
1e5x_A,C2,972
1ebf_A,C2,716
1efh_A,C2,584
1ega_A,C2,602
1egg_A,C2,294
1ehi_A,C2,754
1ei5_A,C2,1040
1eje_A,C2,384
1ejf_A,C2,250
1eke_A,C2,460
1eku_A,C2,530
1eov_A,C2,974
1ep0_A,C2,370
1epa_A,C2,328
1eq9_A,C2,444
1ern_A,C2,426
1erv_A,C2,210
1es9_A,C2,464
1et1_A,C2,68
1eto_A,C2,196
1ev7_A,C2,634
1evy_A,C2,732
1ew3_A,C2,318
1ewk_A,C2,980
1ewr_A,C2,1298
1ex0_A,C2,1462
1ex2_A,C2,378
1ext_A,C2,324
1eye_A,C2,560
1eyv_A,C2,312
1ezg_A,C2,168
1f08_A,C2,296
1f0k_A,C2,728
1f1c_A,C2,258
1f1e_A,C2,308
1f3h_A,C2,284
1f3o_A,C2,470
1f6b_A,C2,396
1f89_A,C2,582
1f9w_A,C2,694
1f9z_A,C2,270
1fbt_A,C2,380
1fcg_A,C2,348
1fd9_A,C2,426
1fe0_A,C2,136
1fi4_A,C2,832
1fjh_A,C2,514
1flg_A,C2,1164
1fmb_A,C2,208
1foc_A,C2,264
1fon_A,C2,480
1fp1_D,C2,744
1fp2_A,C2,704
1fux_A,C2,332
1fx5_A,C2,484
1fxy_A,C2,456
1fzv_A,C2,264
1g0s_A,C2,418
1g5z_A,C2,328
1g60_A,C2,520
1g8e_A,C2,232
1g8m_A,C2,1186
1g8t_A,C2,490
1gam_A,C2,172
1gcj_A,C2,920
1gd9_A,C2,778
1gdh_A,C2,640
1gk6_A,C2,118
1gnx_A,C2,958
1go8_P,C2,924
1goi_A,C2,998
1gpe_A,C2,1174
1eh9_A,C2,1116
1fbl_A,C2,740
1fjj_A,C2,318
1fn9_A,C2,730
1fno_A,C2,834
1gmv_A,C2,286
1gqi_A,C2,1416
1gvp_A,C2,174
1gxr_A,C2,674
1gyo_A,C2,218
1h34_A,C2,166
1h54_A,C2,1508
1h6u_A,C2,616
1ha4_A,C2,174
1he7_A,C2,252
1hgx_A,C2,366
1hkf_A,C2,244
1i3c_A,C2,298
1id1_A,C2,306
1gpj_A,C2,808
1gqa_A,C2,260
1gqp_A,C2,442
1gri_A,C2,434
1gs5_A,C2,516
1gt1_A,C2,318
1gu3_A,C2,298
1gu7_A,C2,728
1gve_A,C2,654
1gvj_A,C2,292
1gx5_A,C2,1072
1h16_A,C2,1518
1h1b_A,C2,436
1h1w_A,C2,578
1h1y_A,C2,456
1h4r_A,C2,628
1h6o_A,C2,408
1h6p_A,C2,406
1h99_A,C2,448
1h9r_A,C2,280
1hci_A,C2,952
1hcx_A,C2,254
1he9_A,C2,268
1hei_A,C2,902
1hfs_A,C2,320
1hfy_A,C2,246
1hh1_A,C2,286
1hh2_P,C2,688
1hkq_A,C2,264
1hku_A,C2,716
1hlg_A,C2,742
1hlm_A,C2,318
1hn4_A,C2,262
1hqo_A,C2,516
1hqs_A,C2,846
1hrh_A,C2,272
1hru_A,C2,376
1hsj_A,C2,974
1ht9_A,C2,152
1hul_A,C2,216
1huw_A,C2,382
1hv8_A,C2,734
1hw1_A,C2,478
1hw7_A,C2,510
1hye_A,C2,626
1hyo_A,C2,842
1hyu_A,C2,1042
1i0r_A,C2,338
1i2s_A,C2,564
1i49_A,C2,448
1i4j_A,C2,220
1i4m_A,C2,216
1i4s_A,C2,294
1i4u_A,C2,362
1i52_A,C2,472
1i58_A,C2,378
1i5e_A,C2,418
1i69_A,C2,438
1i6k_A,C2,656
1i6w_A,C2,362
1i8t_A,C2,734
1ia9_A,C2,560
1iam_A,C2,370
1iaz_A,C2,358
1ied_A,C2,512
1ig0_A,C2,638
1ihk_A,C2,348
1iho_A,C2,566
1ii2_A,C2,1048
1ii5_A,C2,466
1ii7_A,C2,666
1ijy_A,C2,260
1iom_A,C2,754
1iq6_A,C2,268
1iq8_A,C2,1164
1iqb_A,C2,178
1irq_A,C2,142
1is3_A,C2,270
1isu_A,C2,124
1itv_A,C2,390
1iug_A,C2,704
1ix1_A,C2,342
1ix2_A,C2,208
1ixm_A,C2,384
1iyb_A,C2,416
1iyz_A,C2,604
1izm_A,C2,368
1j1i_A,C2,592
1j32_A,C2,776
1j3m_A,C2,258
1j49_A,C2,666
1j55_A,C2,190
1j5p_A,C2,506
1j5w_A,C2,596
1j7g_A,C2,288
1j7n_A,C2,1552
1j8b_A,C2,224
1j93_A,C2,706
1j98_A,C2,314
1jad_A,C2,502
1jbg_A,C2,218
1jdn_A,C2,882
1jdw_A,C2,846
1je5_A,C2,412
1jer_A,C2,276
1jfl_A,C2,456
1jgs_A,C2,276
1jgt_A,C2,1026
1jhc_A,C2,274
1jkw_A,C2,646
1jl0_A,C2,668
1jl9_A,C2,102
1jlx_A,C2,606
1jmj_A,C2,960
1jmk_C,C2,460
1joc_A,C2,250
1jr8_A,C2,234
1js3_A,C2,972
1jsg_A,C2,228
1juv_A,C2,386
1jv1_A,C2,1010
1jxh_A,C2,576
1jya_A,C2,260
1jye_A,C2,698
1k04_A,C2,324
1k20_A,C2,620
1k2p_A,C2,526
1k38_A,C2,508
1k3r_A,C2,536
1k3s_A,C2,226
1k51_A,C2,144
1k66_A,C2,298
1k6d_A,C2,440
1k86_A,C2,506
1k8u_A,C2,180
1k94_A,C2,330
1k9j_A,C2,278
1k9t_A,C2,1080
1k9u_A,C2,156
1kcf_A,C2,516
1kcm_A,C2,540
1kfi_A,C2,1144
1kgz_A,C2,690
1khh_A,C2,396
1kjn_A,C2,314
1kko_A,C2,826
1knq_A,C2,350
1knw_A,C2,850
1ktj_A,C2,258
1ktn_A,C2,500
1ku9_A,C2,304
1kv0_A,C2,132
1l3p_A,C2,204
1l8l_A,C2,450
1lj9_A,C2,288
1ln0_A,C2,194
1lvl_A,C2,916
1m2n_A,C2,498
1m4r_A,C2,302
1mjh_A,C2,324
1n3l_A,C2,744
1n4o_A,C2,552
1nf9_A,C2,414
1koa_A,C2,982
1kob_A,C2,774
1kpt_A,C2,210
1ksi_A,C2,1284
1ku2_A,C2,482
1kut_A,C2,460
1kvk_A,C2,790
1kzq_A,C2,578
1l1q_A,C2,372
1l8d_A,C2,224
1lbv_A,C2,504
1lc5_A,C2,728
1lfa_A,C2,374
1lfb_A,C2,198
1lgp_A,C2,232
1lhp_A,C2,624
1lk9_A,C2,896
1llf_A,C2,1068
1lm7_A,C2,496
1lns_A,C2,1526
1lq9_A,C2,224
1lxd_A,C2,200
1ly1_A,C2,362
1m0u_A,C2,498
1m1f_A,C2,220
1m2d_A,C2,220
1m6e_X,C2,718
1m6j_A,C2,522
1mjf_A,C2,562
1mjt_A,C2,694
1mk1_A,C2,414
1mk4_A,C2,314
1mkh_A,C2,214
1mkk_A,C2,192
1mkz_A,C2,344
1ml8_A,C2,268
1mml_A,C2,530
1mo2_A,C2,588
1mo9_A,C2,1046
1moq_A,C2,736
1mp9_A,C2,396
1msc_A,C2,258
1my6_A,C2,398
1my7_A,C2,228
1myk_A,C2,106
1mzg_A,C2,292
1mzh_A,C2,450
1mzj_A,C2,678
1n0q_A,C2,186
1n1b_A,C2,1098
1n1c_A,C2,434
1n57_A,C2,582
1n7v_A,C2,1110
1n9w_A,C2,844
1na6_A,C2,808
1na8_A,C2,308
1nbc_A,C2,310
1nbq_A,C2,418
1ncg_A,C2,220
1nco_A,C2,226
1ne2_A,C2,400
1neu_A,C2,248
1nfp_A,C2,456
1ni5_A,C2,866
1nj1_A,C2,1002
1njr_A,C2,568
1nkd_A,C2,130
1nlr_A,C2,468
1np6_A,C2,348
1nqd_A,C2,244
1nri_A,C2,612
1nrv_A,C2,210
1ns5_A,C2,310
1nsx_A,C2,694
1nvt_A,C2,574
1nw1_A,C2,858
1nxh_A,C2,252
1nxm_A,C2,394
1nxu_A,C2,666
1nxz_A,C2,492
1nzi_A,C2,318
1o0w_A,C2,504
1o12_A,C2,752
1o22_A,C2,340
1o3u_A,C2,270
1o4s_A,C2,778
1o4t_A,C2,266
1o4u_A,C2,570
1o4w_A,C2,294
1o5h_A,C2,428
1o5l_A,C2,426
1o63_A,C2,438
1o6a_A,C2,192
1o75_A,C2,830
1oah_A,C2,1038
1oi2_A,C2,732
1oi4_A,C2,386
1oiv_A,C2,382
1oki_A,C2,420
1okr_A,C2,246
1olz_A,C2,1326
1omo_A,C2,644
1on2_A,C2,284
1onf_A,C2,1000
1ooe_A,C2,472
1or4_A,C2,356
1orf_A,C2,468
1oru_A,C2,390
1osy_A,C2,230
1otk_A,C2,498
1ou5_A,C2,896
1ovn_A,C2,496
1ox0_A,C2,860
1ox8_A,C2,214
1oys_A,C2,490
1p5z_B,C2,526
1p65_A,C2,146
1p74_A,C2,544
1p7n_A,C2,352
1p91_A,C2,538
1p9b_A,C2,884
1p9i_A,C2,62
1p9o_A,C2,626
1pc6_A,C2,292
1pcs_A,C2,196
1pcz_A,C2,382
1pdo_A,C2,270
1pea_A,C2,770
1pfc_A,C2,226
1pfo_A,C2,1000
1pgj_A,C2,956
1pgu_A,C2,1230
1phz_A,C2,858
1piw_A,C2,720
1pkp_A,C2,300
1pl5_A,C2,284
1nox_A,C2,410
1nww_A,C2,298
1o50_A,C2,314
1oal_A,C2,302
1ov9_A,C2,100
1pm3_A,C2,194
1poc_A,C2,268
1pqw_A,C2,396
1prx_A,C2,448
1psq_A,C2,326
1psr_A,C2,200
1psu_A,C2,280
1pvg_A,C2,836
1pvm_A,C2,368
1py9_A,C2,232
1pzm_A,C2,422
1pzs_A,C2,416
1q08_A,C2,198
1q3o_A,C2,218
1q47_A,C2,990
1q4r_A,C2,224
1q6h_A,C2,448
1q8h_A,C2,98
1q9u_A,C2,260
1qb2_A,C2,218
1qc7_A,C2,202
1qd1_A,C2,650
1qe0_A,C2,840
1qf8_A,C2,364
1qfh_A,C2,424
1qg3_A,C2,390
1qi9_A,C2,1112
1qjh_A,C2,202
1qkd_A,C2,124
1qkk_A,C2,310
1qkm_A,C2,510
1qlw_A,C2,656
1qm7_A,C2,122
1qmh_A,C2,694
1qmj_A,C2,264
1qo8_A,C2,1132
1qou_A,C2,362
1qp8_A,C2,606
1qpa_A,C2,690
1qpp_A,C2,436
1qq5_A,C2,506
1qqf_A,C2,554
1qqg_A,C2,528
1qqh_A,C2,288
1qrr_A,C2,788
1qsd_A,C2,212
1qup_A,C2,444
1quu_A,C2,500
1qwt_A,C2,510
1qx3_A,C2,514
1qx4_A,C2,548
1qxm_A,C2,600
1qya_A,C2,614
1qyc_A,C2,616
1qz9_A,C2,832
1r1d_A,C2,494
1r1t_A,C2,244
1r30_A,C2,738
1r5a_A,C2,436
1r66_A,C2,674
1r6u_A,C2,874
1r6w_A,C2,644
1r6y_A,C2,230
1r7j_A,C2,190
1r89_A,C2,874
1r8g_A,C2,744
1r8j_A,C2,578
1rcq_A,C2,714
1reg_X,C2,244
1reo_A,C2,972
1rhc_A,C2,660
1rk4_A,C2,486
1rkt_A,C2,410
1rmd_A,C2,232
1puc_A,C2,210
1pvd_A,C2,1110
1pzw_A,C2,160
1q67_A,C2,462
1qz1_A,C2,582
1r7a_A,C2,1008
1r7l_A,C2,220
1rku_A,C2,412
1rmr_A,C2,128
1rpa_A,C2,684
1rqb_A,C2,1078
1rqg_A,C2,1444
1rsg_A,C2,1032
1rtr_A,C2,602
1rw0_A,C2,486
1rya_A,C2,320
1s0p_A,C2,352
1s3j_A,C2,310
1s3o_A,C2,264
1s3z_A,C2,330
1s4k_A,C2,240
1s4n_A,C2,696
1s7i_A,C2,248
1s7k_A,C2,364
1s99_A,C2,400
1s9r_A,C2,820
1sb8_A,C2,704
1sd4_A,C2,252
1sdo_A,C2,406
1se8_A,C2,602
1sei_A,C2,260
1sek_A,C2,756
1sev_A,C2,724
1sfp_A,C2,228
1sgm_A,C2,382
1sh5_A,C2,490
1sh8_A,C2,308
1sjy_A,C2,318
1skz_A,C2,238
1slm_A,C2,510
1sny_A,C2,534
1sox_A,C2,932
1sph_A,C2,176
1sqe_A,C2,218
1sqj_A,C2,1578
1sqs_A,C2,484
1squ_A,C2,310
1sr7_A,C2,518
1sur_A,C2,430
1swv_A,C2,534
1szq_A,C2,966
1t06_A,C2,470
1t1v_A,C2,186
1t33_A,C2,448
1t3b_A,C2,422
1t3c_A,C2,842
1t3g_A,C2,318
1t3j_A,C2,192
1t47_A,C2,762
1t5b_A,C2,402
1t62_A,C2,332
1t6f_A,C2,74
1t6l_A,C2,580
1t6n_A,C2,440
1t6t_1,C2,236
1t7h_A,C2,36
1t92_A,C2,232
1t98_A,C2,574
1tbp_A,C2,360
1tc1_A,C2,440
1tdj_A,C2,1028
1te5_A,C2,514
1tfe_A,C2,290
1thf_D,C2,506
1tht_A,C2,610
1tis_A,C2,572
1tks_A,C2,408
1tlj_A,C2,426
1tlk_A,C2,308
1tll_A,C2,1376
1tmk_A,C2,432
1tmx_A,C2,586
1to3_A,C2,608
1tu1_A,C2,296
1tu5_A,C2,1492
1tu7_A,C2,416
1tuh_A,C2,312
1tuw_A,C2,218
1tvd_A,C2,232
1twd_A,C2,512
1twu_A,C2,278
1txg_A,C2,670
1ub9_A,C2,200
1un8_A,C2,1104
1uou_A,C2,948
1upi_A,C2,450
1uwk_A,C2,1114
1v8h_A,C2,214
1vef_A,C2,790
1txn_A,C2,656
1tyb_E,C2,638
1tyy_A,C2,678
1tza_A,C2,268
1tzb_A,C2,604
1tzp_A,C2,510
1u07_A,C2,180
1u08_A,C2,772
1u0k_A,C2,576
1u0m_A,C2,764
1u2h_A,C2,198
1u36_A,C2,212
1u4p_A,C2,136
1u5e_A,C2,422
1u6e_A,C2,670
1u6l_A,C2,298
1u6r_A,C2,760
1u6z_A,C2,1026
1u7i_A,C2,272
1u7n_A,C2,672
1u7u_A,C2,452
1u8s_A,C2,384
1ub0_A,C2,516
1uc2_A,C2,962
1uc8_A,C2,560
1ucr_A,C2,156
1udv_A,C2,178
1ui5_A,C2,430
1uii_A,C2,166
1uix_A,C2,142
1ujn_A,C2,696
1ukk_A,C2,284
1ulk_A,C2,252
1uly_A,C2,384
1umu_A,C2,232
1uqt_A,C2,964
1uru_A,C2,488
1usc_A,C2,356
1usg_A,C2,692
1usm_A,C2,160
1utg_A,C2,140
1uty_A,C2,374
1uuf_A,C2,738
1uur_A,C2,946
1uv7_A,C2,220
1uww_A,C2,382
1ux5_A,C2,822
1uz3_A,C2,204
1v05_A,C2,192
1v0d_A,C2,658
1v13_A,C2,268
1v1o_A,C2,426
1v2d_A,C2,762
1v2x_A,C2,388
1v2z_A,C2,222
1v43_A,C2,744
1v47_A,C2,698
1v4v_A,C2,752
1v5v_A,C2,802
1v5x_A,C2,406
1v6z_A,C2,456
1v70_A,C2,210
1v71_A,C2,646
1v7o_A,C2,330
1v96_A,C2,298
1v9c_A,C2,436
1v9n_A,C2,720
1v9y_A,C2,334
1vbi_A,C2,688
1vbk_A,C2,614
1vdr_A,C2,324
1vdw_A,C2,508
1ve1_A,C2,608
1ve2_A,C2,470
1vh5_A,C2,296
1vio_A,C2,486
1vjl_A,C2,328
1vs3_A,C2,498
1w5f_A,C2,706
1wmx_A,C2,410
1vfr_A,C2,436
1vgp_A,C2,746
1vgz_A,C2,482
1vh4_A,C2,870
1vh6_A,C2,290
1vhd_A,C2,742
1vhm_A,C2,390
1vhq_A,C2,464
1vhv_A,C2,536
1vhx_A,C2,300
1vi0_A,C2,412
1via_A,C2,350
1vjg_A,C2,436
1vjh_A,C2,244
1vjo_A,C2,786
1vjq_A,C2,158
1vki_A,C2,362
1vky_A,C2,694
1vl4_A,C2,894
1vl7_A,C2,314
1vlj_A,C2,814
1vlr_A,C2,700
1vls_A,C2,292
1vlz_A,C2,256
1vm7_A,C2,622
1vmi_A,C2,710
1vp4_A,C2,850
1vp6_A,C2,276
1vpa_A,C2,468
1vpb_A,C2,902
1vpk_A,C2,756
1vpl_A,C2,512
1vq0_A,C2,604
1vqt_A,C2,426
1vqu_A,C2,748
1vr7_A,C2,284
1vsc_A,C2,392
1vsg_A,C2,728
1vz6_A,C2,786
1vzv_A,C2,442
1w07_A,C2,1318
1w1k_A,C2,1120
1w23_A,C2,720
1w25_A,C2,918
1w2y_A,C2,458
1w33_A,C2,362
1w3b_A,C2,776
1w53_A,C2,168
1w5r_A,C2,556
1w8i_A,C2,312
1w9c_A,C2,642
1wbf_A,C2,484
1wc9_A,C2,330
1wcv_1,C2,514
1wiw_A,C2,580
1wkq_A,C2,328
1wkv_A,C2,778
1wl0_A,C2,598
1wle_A,C2,1002
1wlh_A,C2,622
1wls_A,C2,656
1wlt_A,C2,392
1wn1_A,C2,712
1wn2_A,C2,242
1wov_A,C2,500
1wpn_A,C2,376
1wr8_A,C2,462
1wrk_A,C2,176
1wtd_A,C2,544
1wtj_A,C2,686
1wu2_A,C2,792
1wu7_A,C2,868
1wu9_A,C2,160
1wue_A,C2,772
1wuf_A,C2,786
1wuw_A,C2,90
1wv8_A,C2,146
1wv9_A,C2,188
1ww8_A,C2,878
1wwk_A,C2,614
1wwm_A,C2,380
1wwp_A,C2,238
1wy0_A,C2,684
1wy2_A,C2,702
1wyx_A,C2,138
1x7o_A,C2,574
1xvs_A,C2,252
1xy7_A,C2,332
1xyn_A,C2,356
1y42_X,C2,784
1y5h_A,C2,266
1ykd_A,C2,796
1wwz_A,C2,318
1wx1_A,C2,670
1wyd_A,C2,858
1wz3_A,C2,192
1wzl_A,C2,1170
1x03_A,C2,504
1x04_A,C2,460
1x13_A,C2,802
1x24_A,C2,360
1x2i_A,C2,150
1x54_A,C2,868
1x6i_A,C2,182
1x8y_A,C2,172
1xa0_A,C2,656
1xa3_A,C2,874
1xao_A,C2,242
1xcv_A,C2,278
1xd7_A,C2,290
1xer_A,C2,206
1xff_A,C2,480
1xfs_A,C2,356
1xg7_A,C2,500
1xhk_A,C2,374
1xi3_A,C2,430
1xjl_A,C2,638
1xku_A,C2,660
1xly_A,C2,468
1xma_A,C2,290
1xnf_A,C2,550
1xng_A,C2,536
1xnx_A,C2,512
1xqb_A,C2,494
1xr4_A,C2,1018
1xso_A,C2,300
1xsq_A,C2,336
1xsv_A,C2,226
1xta_A,C2,442
1xw8_A,C2,504
1xwm_A,C2,434
1xy1_A,C2,20
1y0h_A,C2,204
1y0u_A,C2,192
1y2o_A,C2,500
1y44_A,C2,640
1y4j_A,C2,568
1y4s_A,C2,1118
1y6z_A,C2,526
1y71_A,C2,260
1y7r_A,C2,266
1y7y_A,C2,148
1y89_A,C2,476
1y8g_A,C2,654
1y9q_A,C2,384
1y9w_A,C2,280
1yal_A,C2,436
1yb2_A,C2,550
1ybe_A,C2,898
1ybx_A,C2,286
1yc8_A,C2,248
1yco_A,C2,558
1ydw_A,C2,724
1ydy_A,C2,712
1yf5_L,C2,508
1yg2_A,C2,358
1yga_A,C2,684
1ygt_A,C2,222
1ykw_A,C2,870
1yla_A,C2,404
1ylm_A,C2,288
1ylq_A,C2,192
1ylx_A,C2,206
1ym3_A,C2,430
1ym5_A,C2,600
1yoz_A,C2,232
1ypt_A,C2,610
1yqg_A,C2,526
1z24_A,C2,378
1zsy_A,C2,714
1zy2_A,C2,300
2a35_A,C2,430
2a8n_A,C2,288
2a9s_A,C2,342
2aca_A,C2,378
1ysj_A,C2,808
1yuz_A,C2,404
1yw4_A,C2,682
1ywq_A,C2,400
1yy7_A,C2,426
1yya_A,C2,500
1yyv_A,C2,262
1yzx_A,C2,452
1z05_A,C2,858
1z0p_A,C2,168
1z0x_A,C2,440
1z3a_A,C2,336
1z45_A,C2,1398
1z4e_A,C2,306
1z68_A,C2,1438
1z72_A,C2,450
1z7u_A,C2,224
1z82_A,C2,670
1z84_A,C2,702
1z91_A,C2,294
1z9m_A,C2,290
1z9p_A,C2,310
1zak_A,C2,444
1zbr_A,C2,698
1zbs_A,C2,582
1zc6_A,C2,610
1zch_A,C2,510
1zcz_A,C2,928
1zej_A,C2,586
1zg3_A,C2,716
1zh2_A,C2,242
1zh8_A,C2,680
1zhg_A,C2,278
1zjc_A,C2,836
1zjj_A,C2,526
1zk8_A,C2,366
1zk9_A,C2,220
1zkd_A,C2,774
1zki_A,C2,266
1zl9_A,C2,414
1zo2_A,C2,258
1zor_A,C2,798
1zp6_A,C2,382
1zp7_A,C2,412
1zps_A,C2,276
1zrs_A,C2,634
1zso_A,C2,328
1ztd_A,C2,266
1zv1_A,C2,130
1zva_A,C2,154
1zvf_A,C2,352
1zvn_A,C2,198
1zvu_A,C2,1432
1zx2_A,C2,294
1zxk_A,C2,196
1zxm_A,C2,800
1zxq_A,C2,384
1zy4_A,C2,606
1zyb_A,C2,464
1zym_A,C2,516
1zzg_A,C2,830
2a0u_A,C2,766
2a11_A,C2,484
2a15_A,C2,278
2a2j_A,C2,492
2a33_A,C2,430
2a3n_A,C2,710
2a4k_A,C2,526
2a6p_A,C2,416
2a72_A,C2,292
2a9d_A,C2,744
2a9u_A,C2,288
2aa4_A,C2,578
2ab5_A,C2,538
2abq_A,C2,612
2acv_A,C2,926
2acx_A,C2,1152
2aef_A,C2,468
2aeu_A,C2,748
2aex_A,C2,692
2ani_A,C2,692
2arc_A,C2,328
2ayu_A,C2,834
2bas_A,C2,862
2c5a_A,C2,758
2car_A,C2,392
2ccy_A,C2,256
2ajr_A,C2,662
2aml_A,C2,746
2amx_A,C2,752
2aqx_A,C2,578
2arz_A,C2,494
2as0_A,C2,792
2as8_A,C2,444
2asf_A,C2,274
2asr_A,C2,284
2aua_A,C2,448
2aud_A,C2,514
2avd_A,C2,458
2avt_A,C2,756
2axo_A,C2,540
2axp_A,C2,346
2axq_A,C2,934
2axw_A,C2,268
2azj_A,C2,578
2b06_A,C2,310
2b0a_A,C2,372
2b0c_A,C2,412
2b0r_A,C2,404
2b18_A,C2,328
2b1y_A,C2,208
2b3u_A,C2,342
2b4h_A,C2,508
2b5w_A,C2,714
2b61_A,C2,754
2b69_A,C2,686
2b6c_A,C2,440
2b7o_A,C2,928
2b8m_A,C2,234
2b8w_A,C2,656
2bc0_A,C2,980
2bdq_A,C2,448
2bdt_A,C2,378
2bdu_A,C2,594
2bdw_A,C2,724
2be3_A,C2,452
2bei_A,C2,340
2bf9_A,C2,72
2bih_A,C2,948
2bji_A,C2,554
2bjn_A,C2,320
2bjo_A,C2,272
2bka_A,C2,484
2bkw_A,C2,770
2bll_A,C2,690
2bnk_A,C2,134
2bol_A,C2,628
2bqp_A,C2,468
2bqq_A,C2,226
2bsj_A,C2,266
2bti_A,C2,126
2bv6_A,C2,284
2c0d_A,C2,442
2c0n_A,C2,406
2c0z_A,C2,432
2c1l_A,C2,716
2c26_A,C2,520
2c2a_A,C2,516
2c2i_A,C2,302
2c2x_A,C2,562
2c3b_A,C2,344
2c40_A,C2,624
2c4i_A,C2,542
2c4w_A,C2,352
2c5j_A,C2,190
2c5s_A,C2,826
2c61_A,C2,938
2c7g_A,C2,912
2c7w_A,C2,198
2cbn_A,C2,612
2cc0_A,C2,390
2cc3_A,C2,300
2cd0_A,C2,222
2cdq_A,C2,1020
2cdu_A,C2,904
2cg6_A,C2,180
2ch9_A,C2,262
2ci8_A,C2,198
2ck2_A,C2,192
2cmg_A,C2,524
2cmu_A,C2,684
2cn4_A,C2,346
2co3_A,C2,274
2co5_A,C2,198
2csu_A,C2,914
2cu2_A,C2,674
2cu3_A,C2,128
2cun_A,C2,820
2cuy_A,C2,610
2cvi_A,C2,166
2cw2_A,C2,452
2cw3_A,C2,560
2cy9_A,C2,280
2cya_A,C2,728
2cyb_A,C2,646
2cyc_A,C2,750
2cz2_A,C2,446
2czg_A,C2,866
2d1c_A,C2,992
2d1g_A,C2,996
2d1h_A,C2,218
2d1l_A,C2,506
2d2r_A,C2,490
2d3m_A,C2,812
2d4g_A,C2,342
2d4q_A,C2,514
2d4u_A,C2,352
2d5m_A,C2,380
2d62_A,C2,750
2d6o_X,C2,318
